Year,team,away_goals_conceded,away_score,away_games,home_score,home_goals_conceded,home_games,hs_mean,as_mean,as_conceded_mean,hs_conceded_mean,H_AttackS,A_AttackS,H_DefenseS,A_DefenseS
1872,England,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1873,Scotland,4,2,1,0.0,0.0,0.0,4.0,2.0,4.0,2.0,,1.0,,1.0
1874,England,2,1,1,0.0,0.0,0.0,2.0,1.0,2.0,1.0,,1.0,,1.0
1875,Scotland,2,2,1,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,1.0,,1.0
1876,England,3,0,1,0.0,0.0,0.0,3.5,0.0,3.5,0.0,,,,0.8571428571428571
1876,Wales,4,0,1,0.0,0.0,0.0,3.5,0.0,3.5,0.0,,,,1.1428571428571428
1877,Scotland,1,5,2,0.0,0.0,0.0,0.5,2.5,0.5,2.5,,1.0,,1.0
1878,England,7,2,1,0.0,0.0,0.0,8.0,1.0,8.0,1.0,,2.0,,0.875
1878,Wales,9,0,1,0.0,0.0,0.0,8.0,1.0,8.0,1.0,,0.0,,1.125
1879,Scotland,5,7,2,0.0,0.0,0.0,2.3333333333333335,2.6666666666666665,2.3333333333333335,2.6666666666666665,,1.3125,,1.0714285714285714
1879,Wales,2,1,1,0.0,3.0,1.0,2.3333333333333335,2.6666666666666665,2.3333333333333335,2.6666666666666665,0.0,0.375,1.125,0.8571428571428571
1880,England,7,7,2,0.0,0.0,0.0,4.0,2.6666666666666665,4.0,2.6666666666666665,,1.3125,,0.875
1880,Wales,5,1,1,2.0,3.0,1.0,4.0,2.6666666666666665,4.0,2.6666666666666665,0.5,0.375,1.125,1.25
1881,Scotland,2,11,2,0.0,0.0,0.0,0.6666666666666666,4.0,0.6666666666666666,4.0,,1.375,,1.5
1881,Wales,0,1,1,1.0,5.0,1.0,0.6666666666666666,4.0,0.6666666666666666,4.0,1.5,0.25,1.25,0.0
1882,England,10,17,3,0.0,0.0,0.0,4.4,3.6,4.4,3.6,,1.5740740740740742,,0.7575757575757576
1882,Northern Ireland,7,1,1,0.0,13.0,1.0,4.4,3.6,4.4,3.6,0.0,0.2777777777777778,3.611111111111111,1.5909090909090908
1882,Wales,5,0,1,12.0,4.0,2.0,4.4,3.6,4.4,3.6,1.3636363636363635,0.0,0.5555555555555556,1.1363636363636362
1883,Northern Ireland,7,0,1,1.0,1.0,1.0,3.0,1.4,3.0,1.4,0.3333333333333333,0.0,0.7142857142857143,2.3333333333333335
1883,Scotland,2,6,2,0.0,0.0,0.0,3.0,1.4,3.0,1.4,,2.142857142857143,,0.3333333333333333
1883,Wales,6,1,2,0.0,3.0,1.0,3.0,1.4,3.0,1.4,0.0,0.35714285714285715,2.142857142857143,1.0
1884,England,2,12,3,0.0,0.0,0.0,2.0,3.0,2.0,3.0,,1.3333333333333333,,0.3333333333333333
1884,Northern Ireland,6,0,1,1.0,13.0,2.0,2.0,3.0,2.0,3.0,0.25,0.0,2.1666666666666665,3.0
1884,Scotland,0,5,1,5.0,1.0,2.0,2.0,3.0,2.0,3.0,1.25,1.6666666666666667,0.16666666666666666,0.0
1884,Wales,4,1,1,6.0,4.0,2.0,2.0,3.0,2.0,3.0,1.5,0.3333333333333333,0.6666666666666666,2.0
1885,Canada,0,1,1,0.0,0.0,0.0,2.4285714285714284,3.0,2.4285714285714284,3.0,,0.3333333333333333,,0.0
1885,Northern Ireland,12,2,2,2.0,8.0,1.0,2.4285714285714284,3.0,2.4285714285714284,3.0,0.823529411764706,0.3333333333333333,2.6666666666666665,2.4705882352941178
1885,Scotland,2,9,2,8.0,2.0,1.0,2.4285714285714284,3.0,2.4285714285714284,3.0,3.294117647058824,1.5,0.6666666666666666,0.411764705882353
1885,Wales,3,9,2,1.0,8.0,1.0,2.4285714285714284,3.0,2.4285714285714284,3.0,0.411764705882353,1.5,2.6666666666666665,0.6176470588235294
1886,Canada,3,2,1,0.0,0.0,0.0,2.4285714285714284,2.857142857142857,2.4285714285714284,2.857142857142857,,0.7,,1.2352941176470589
1886,England,3,10,3,0.0,0.0,0.0,2.4285714285714284,2.857142857142857,2.4285714285714284,2.857142857142857,,1.1666666666666667,,0.411764705882353
1886,Northern Ireland,5,0,1,3.0,13.0,2.0,2.4285714285714284,2.857142857142857,2.4285714285714284,2.857142857142857,0.6176470588235294,0.0,2.275,2.058823529411765
1886,Scotland,2,7,1,5.0,2.0,2.0,2.4285714285714284,2.857142857142857,2.4285714285714284,2.857142857142857,1.0294117647058825,2.4499999999999997,0.35,0.823529411764706
1886,Wales,4,1,1,6.0,3.0,2.0,2.4285714285714284,2.857142857142857,2.4285714285714284,2.857142857142857,1.2352941176470589,0.35,0.525,1.647058823529412
1887,Northern Ireland,11,1,2,4.0,1.0,1.0,3.5,1.1666666666666667,3.5,1.1666666666666667,1.1428571428571428,0.42857142857142855,0.8571428571428571,1.5714285714285714
1887,Scotland,2,5,2,4.0,1.0,1.0,3.5,1.1666666666666667,3.5,1.1666666666666667,1.1428571428571428,2.142857142857143,0.8571428571428571,0.2857142857142857
1887,Wales,8,1,2,0.0,2.0,1.0,3.5,1.1666666666666667,3.5,1.1666666666666667,0.0,0.42857142857142855,1.7142857142857142,1.1428571428571428
1888,Canada,4,0,1,0.0,0.0,0.0,4.0,3.142857142857143,4.0,3.142857142857143,,0.0,,1.0
1888,England,1,10,2,5.0,1.0,1.0,4.0,3.142857142857143,4.0,3.142857142857143,1.25,1.590909090909091,0.3181818181818182,0.125
1888,Northern Ireland,11,0,1,3.0,15.0,2.0,4.0,3.142857142857143,4.0,3.142857142857143,0.375,0.0,2.3863636363636362,2.75
1888,Scotland,2,10,1,9.0,6.0,3.0,4.0,3.142857142857143,4.0,3.142857142857143,0.75,3.181818181818182,0.6363636363636364,0.5
1888,Wales,10,2,2,11.0,0.0,1.0,4.0,3.142857142857143,4.0,3.142857142857143,2.75,0.3181818181818182,0.0,1.25
1889,Northern Ireland,13,1,2,1.0,3.0,1.0,3.3333333333333335,1.3333333333333333,3.3333333333333335,1.3333333333333333,0.3,0.375,2.25,1.95
1889,Scotland,2,3,2,7.0,0.0,1.0,3.3333333333333335,1.3333333333333333,3.3333333333333335,1.3333333333333333,2.1,1.125,0.0,0.3
1889,Wales,5,4,2,0.0,0.0,1.0,3.3333333333333335,1.3333333333333333,3.3333333333333335,1.3333333333333333,0.0,1.5,0.0,0.75
1890,England,3,13,3,0.0,0.0,0.0,2.3333333333333335,3.1666666666666665,2.3333333333333335,3.1666666666666665,,1.368421052631579,,0.42857142857142855
1890,Northern Ireland,5,2,1,2.0,13.0,2.0,2.3333333333333335,3.1666666666666665,2.3333333333333335,3.1666666666666665,0.42857142857142855,0.6315789473684211,2.0526315789473686,2.142857142857143
1890,Scotland,1,4,1,6.0,1.0,2.0,2.3333333333333335,3.1666666666666665,2.3333333333333335,3.1666666666666665,1.2857142857142856,1.2631578947368423,0.15789473684210528,0.42857142857142855
1890,Wales,5,0,1,6.0,5.0,2.0,2.3333333333333335,3.1666666666666665,2.3333333333333335,3.1666666666666665,1.2857142857142856,0.0,0.7894736842105263,2.142857142857143
1891,Northern Ireland,8,2,2,7.0,2.0,1.0,4.0,1.6666666666666667,4.0,1.6666666666666667,1.75,0.6,1.2,1.0
1891,Scotland,5,5,2,2.0,1.0,1.0,4.0,1.6666666666666667,4.0,1.6666666666666667,0.5,1.5,0.6,0.625
1891,Wales,11,3,2,3.0,4.0,1.0,4.0,1.6666666666666667,4.0,1.6666666666666667,0.75,0.8999999999999999,2.4,1.375
1892,England,1,8,3,0.0,0.0,0.0,1.6666666666666667,2.1666666666666665,1.6666666666666667,2.1666666666666665,,1.2307692307692308,,0.19999999999999998
1892,Northern Ireland,1,1,1,2.0,5.0,2.0,1.6666666666666667,2.1666666666666665,1.6666666666666667,2.1666666666666665,0.6,0.46153846153846156,1.153846153846154,0.6
1892,Scotland,2,3,1,7.0,5.0,2.0,1.6666666666666667,2.1666666666666665,1.6666666666666667,2.1666666666666665,2.1,1.3846153846153848,1.153846153846154,1.2
1892,Wales,6,1,1,1.0,3.0,2.0,1.6666666666666667,2.1666666666666665,1.6666666666666667,2.1666666666666665,0.3,0.46153846153846156,0.6923076923076924,3.5999999999999996
1893,Northern Ireland,12,2,2,0.0,0.0,0.0,4.6,2.4,4.6,2.4,,0.4166666666666667,,1.3043478260869565
1893,Scotland,5,10,2,6.0,1.0,1.0,4.6,2.4,4.6,2.4,1.3043478260869565,2.0833333333333335,0.4166666666666667,0.5434782608695653
1893,Wales,6,0,1,0.0,8.0,1.0,4.6,2.4,4.6,2.4,0.0,0.0,3.3333333333333335,1.3043478260869565
1894,England,5,9,3,0.0,0.0,0.0,2.5,2.3333333333333335,2.5,2.3333333333333335,,1.2857142857142856,,0.6666666666666667
1894,Northern Ireland,4,1,1,3.0,4.0,2.0,2.5,2.3333333333333335,2.5,2.3333333333333335,0.6,0.42857142857142855,0.8571428571428571,1.6
1894,Scotland,1,2,1,7.0,4.0,2.0,2.5,2.3333333333333335,2.5,2.3333333333333335,1.4,0.8571428571428571,0.8571428571428571,0.4
1894,Wales,5,2,1,5.0,6.0,2.0,2.5,2.3333333333333335,2.5,2.3333333333333335,1.0,0.8571428571428571,1.2857142857142856,2.0
1895,Northern Ireland,12,1,2,2.0,2.0,1.0,3.3333333333333335,1.0,3.3333333333333335,1.0,0.6,0.5,2.0,1.7999999999999998
1895,Scotland,5,2,2,3.0,1.0,1.0,3.3333333333333335,1.0,3.3333333333333335,1.0,0.8999999999999999,1.0,1.0,0.75
1895,Wales,3,3,2,2.0,2.0,1.0,3.3333333333333335,1.0,3.3333333333333335,1.0,0.6,1.5,2.0,0.44999999999999996
1896,England,3,12,3,0.0,0.0,0.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,,1.5,,0.375
