,team,opponent,goals,total_score,total_count,rank_difference,home
13295,Saint Lucia,Turks and Caicos Islands,2,0.0,0,-166.08333333333334,1
12630,Vanuatu,New Caledonia,2,106.75,0,1.1666666666666572,0
24866,Spain,Portugal,0,1639.375,5,1.125,0
8429,Sudan,Jordan,1,375.3636363636364,7,22.090909090909093,0
6412,Chinese Taipei,Iraq,0,149.16666666666666,0,82.08333333333333,0
18765,Ecuador,Uruguay,1,962.0,5,3.166666666666666,1
18349,Egypt,Botswana,1,562.5833333333334,14,-54.66666666666666,1
21940,Georgia,Latvia,5,290.1666666666667,3,-10.416666666666671,1
21750,Thailand,Indonesia,4,275.5833333333333,9,-58.0,1
16166,North Korea,Sri Lanka,4,0.0,3,-172.33333333333337,1
18379,Indonesia,Netherlands,0,117.58333333333331,5,157.91666666666669,1
13394,Bahrain,Singapore,1,430.83333333333326,8,-53.49999999999999,0
4374,Hungary,Austria,3,41.7,5,36.1,0
14837,Bulgaria,Cyprus,1,820.6666666666665,5,-53.16666666666667,0
15724,Netherlands,Sweden,4,1493.6363636363635,6,-34.18181818181819,1
24483,Netherlands,Belarus,2,1581.0,6,-69.25,0
5235,Bulgaria,England,1,576.5833333333334,5,20.666666666666664,1
21730,Saudi Arabia,Japan,1,560.4166666666666,6,6.666666666666664,0
3016,Poland,Cyprus,2,40.5,3,-30.700000000000006,1
17894,French Guiana,Haiti,1,0.0,0,-67.66666666666667,1
199,France,Denmark,1,46.0,0,10.0,1
11550,Chile,Sweden,1,613.0,4,37.18181818181818,0
6926,Trinidad and Tobago,Guatemala,3,613.3333333333334,12,-29.08333333333333,1
19023,South Korea,Costa Rica,1,0.0,3,-24.25,0
11554,Jamaica,England,0,537.0909090909091,9,49.54545454545455,0
22710,Tonga,Tuvalu,3,0.0,0,205.75,0
24120,South Africa,Egypt,1,1333.625,2,19.25,0
18700,Kuwait,Bahrain,2,305.8333333333333,8,-6.666666666666656,1
20283,Libya,Morocco,0,322.8333333333333,6,17.91666666666667,0
5823,Oman,Slovenia,0,389.0,6,61.24999999999999,1
17579,Greece,Latvia,2,987.0,6,-71.83333333333333,0
