,index,id,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date,Year
0,995,43838,82,Syria,SYR,20,20,0,AFC,1994-02-15,1994
1,996,43948,1,Germany,GER,59,59,0,UEFA,1994-02-15,1994
2,997,43896,107,Barbados,BRB,12,11,7,CONCACAF,1994-02-15,1994
3,998,43825,108,Lebanon,LBN,11,11,0,AFC,1994-02-15,1994
4,999,43943,109,Estonia,EST,11,11,0,UEFA,1994-02-15,1994
5,1000,43829,110,Myanmar,MYA,11,11,0,AFC,1994-02-15,1994
6,1001,43958,111,Luxembourg,LUX,11,11,0,UEFA,1994-02-15,1994
7,1002,43873,112,Mozambique,MOZ,11,12,8,CAF,1994-02-15,1994
8,1003,43844,113,Angola,ANG,11,13,11,CAF,1994-02-15,1994
9,1004,43944,114,Faroe Islands,FRO,10,10,1,UEFA,1994-02-15,1994
10,1005,43809,115,Bangladesh,BAN,10,10,1,AFC,1994-02-15,1994
11,1006,1882218,116,Antigua and Barbuda,ATG,9,9,1,CONCACAF,1994-02-15,1994
12,1007,43847,117,Burkina Faso,BFA,9,8,10,CAF,1994-02-15,1994
13,1008,43919,118,Suriname,SUR,9,9,1,CONCACAF,1994-02-15,1994
14,1009,43884,119,Sudan,SDN,9,9,0,CAF,1994-02-15,1994
15,1010,43887,120,Togo,TOG,9,11,7,CAF,1994-02-15,1994
16,1011,43966,121,San Marino,SMR,9,9,0,UEFA,1994-02-15,1994
17,1012,43938,122,Croatia,CRO,8,9,0,UEFA,1994-02-15,1994
18,1013,43906,123,Guatemala,GUA,8,9,3,CONCACAF,1994-02-15,1994
19,1014,43977,106,Fiji,FIJ,12,12,1,OFC,1994-02-15,1994
20,1015,43830,124,Nepal,NEP,8,8,0,AFC,1994-02-15,1994
21,1016,43915,105,Puerto Rico,PUR,12,12,0,CONCACAF,1994-02-15,1994
22,1017,43848,103,Burundi,BDI,12,13,2,CAF,1994-02-15,1994
23,1018,43898,86,Bermuda,BER,19,20,2,CONCACAF,1994-02-15,1994
24,1019,43955,87,Latvia,LVA,18,18,1,UEFA,1994-02-15,1994
25,1020,43820,88,Jordan,JOR,18,18,1,AFC,1994-02-15,1994
26,1021,43920,89,Trinidad and Tobago,TRI,16,17,1,CONCACAF,1994-02-15,1994
27,1022,43973,90,Ukraine,UKR,16,16,0,UEFA,1994-02-15,1994
28,1023,43842,91,Yemen,YEM,16,16,0,AFC,1994-02-15,1994
29,1024,43931,92,Venezuela,VEN,16,16,1,CONMEBOL,1994-02-15,1994
30,1025,43932,93,Albania,ALB,16,16,1,UEFA,1994-02-15,1994
31,1026,43889,94,Uganda,UGA,15,15,0,CAF,1994-02-15,1994
32,1027,43857,95,Ethiopia,ETH,15,15,1,CAF,1994-02-15,1994
33,1028,43886,96,Tanzania,TAN,14,14,2,CAF,1994-02-15,1994
34,1029,43814,97,Hong Kong,HKG,14,11,15,AFC,1994-02-15,1994
35,1030,43883,98,South Africa,RSA,14,15,3,CAF,1994-02-15,1994
36,1031,43867,99,Madagascar,MAD,13,16,10,CAF,1994-02-15,1994
37,1032,43885,100,Swaziland,SWZ,13,14,1,CAF,1994-02-15,1994
38,1033,43815,101,India,IND,13,13,1,AFC,1994-02-15,1994
39,1034,43853,102,Congo,CGO,13,13,1,CAF,1994-02-15,1994
40,1035,43816,104,Indonesia,IDN,12,12,2,AFC,1994-02-15,1994
41,1036,43957,85,Lithuania,LTU,19,19,0,UEFA,1994-02-15,1994
42,1037,43859,125,Gambia,GAM,8,8,0,CAF,1994-02-15,1994
43,1038,43837,127,Sri Lanka,SRI,8,8,1,AFC,1994-02-15,1994
44,1039,43810,150,Brunei Darussalam,BRU,2,2,1,AFC,1994-02-15,1994
45,1040,43866,151,Libya,LBY,2,2,1,CAF,1994-02-15,1994
46,1041,43903,152,Dominican Republic,DOM,1,2,1,CONCACAF,1994-02-15,1994
47,1042,43900,153,Cayman Islands,CAY,1,1,1,CONCACAF,1994-02-15,1994
48,1043,43913,154,Nicaragua,NCA,1,1,1,CONCACAF,1994-02-15,1994
49,1044,43874,155,Namibia,NAM,0,0,1,CAF,1994-02-15,1994
50,1045,43851,156,Central African Republic,CTA,0,0,1,CAF,1994-02-15,1994
51,1046,43880,156,Seychelles,SEY,0,0,1,CAF,1994-02-15,1994
52,1047,43902,158,Cuba,CUB,0,0,1,CONCACAF,1994-02-15,1994
53,1048,43956,158,Liechtenstein,LIE,0,0,2,UEFA,1994-02-15,1994
54,1049,43813,160,Chinese Taipei,TPE,0,0,1,AFC,1994-02-15,1994
55,1050,43856,161,Equatorial Guinea,EQG,0,0,1,CAF,1994-02-15,1994
56,1051,43833,162,Philippines,PHI,0,0,1,AFC,1994-02-15,1994
57,1052,43982,163,Vanuatu,VAN,0,0,1,OFC,1994-02-15,1994
58,1053,43894,164,Aruba,ARU,0,0,1,CONCACAF,1994-02-15,1994
59,1054,43852,165,Chad,CHA,0,0,1,CAF,1994-02-15,1994
60,1055,43826,165,Macau,MAC,0,0,1,AFC,1994-02-15,1994
61,1056,43980,149,Solomon Islands,SOL,2,2,0,OFC,1994-02-15,1994
62,1057,43865,126,Liberia,LBR,8,8,3,CAF,1994-02-15,1994
63,1058,43828,148,Maldives,MDV,2,2,0,AFC,1994-02-15,1994
64,1059,43824,146,Laos,LAO,2,2,0,AFC,1994-02-15,1994
65,1060,43918,128,St. Vincent / Grenadines,VIN,7,8,1,CONCACAF,1994-02-15,1994
66,1061,43845,130,Benin,BEN,7,7,0,CAF,1994-02-15,1994
67,1062,43914,131,Panama,PAN,7,7,1,CONCACAF,1994-02-15,1994
68,1063,43862,132,Guinea-Bissau,GNB,7,7,1,CAF,1994-02-15,1994
69,1064,43871,133,Mauritius,MRI,7,7,0,CAF,1994-02-15,1994
70,1065,43968,134,Slovenia,SVN,6,6,0,UEFA,1994-02-15,1994
71,1066,43841,135,Vietnam,VIE,5,5,0,AFC,1994-02-15,1994
72,1067,43907,136,Guyana,GUY,5,5,0,CONCACAF,1994-02-15,1994
73,1068,43864,137,Lesotho,LES,5,5,1,CAF,1994-02-15,1994
74,1069,43905,138,Grenada,GRN,5,3,5,CONCACAF,1994-02-15,1994
75,1070,43917,139,St. Lucia,LCA,4,4,0,CONCACAF,1994-02-15,1994
76,1071,43937,140,Belarus,BLR,4,5,3,UEFA,1994-02-15,1994
77,1072,43832,141,Pakistan,PAK,4,4,1,AFC,1994-02-15,1994
78,1073,43981,142,Tahiti,TAH,4,4,1,OFC,1994-02-15,1994
79,1074,43846,143,Botswana,BOT,3,4,3,CAF,1994-02-15,1994
80,1075,43870,144,Mauritania,MTN,3,3,0,CAF,1994-02-15,1994
81,1076,43908,145,Haiti,HAI,3,3,0,CONCACAF,1994-02-15,1994
82,1077,43850,147,Cabo Verde,CPV,2,2,0,CAF,1994-02-15,1994
83,1078,43827,84,Malaysia,MAS,20,21,5,AFC,1994-02-15,1994
84,1079,43916,165,St. Kitts and Nevis,SKN,0,0,1,CONCACAF,1994-02-15,1994
85,1080,43924,2,Brazil,BRA,58,59,1,CONMEBOL,1994-02-15,1994
86,1081,43962,24,Poland,POL,45,45,4,UEFA,1994-02-15,1994
87,1082,43967,25,Scotland,SCO,45,45,1,UEFA,1994-02-15,1994
88,1083,43935,26,Belgium,BEL,44,45,1,UEFA,1994-02-15,1994
89,1084,43974,27,Wales,WAL,44,44,2,UEFA,1994-02-15,1994
90,1085,43872,28,Morocco,MAR,44,44,2,CAF,1994-02-15,1994
91,1086,43849,29,Cameroon,CMR,44,46,6,CAF,1994-02-15,1994
92,1087,43891,30,Zambia,ZAM,43,45,3,CAF,1994-02-15,1994
93,1088,43959,83,Malta,MLT,20,20,0,UEFA,1994-02-15,1994
94,1089,43854,31,Côte d'Ivoire,CIV,42,42,2,CAF,1994-02-15,1994
95,1090,43888,33,Tunisia,TUN,41,43,1,CAF,1994-02-15,1994
96,1091,43934,34,Austria,AUT,40,40,2,UEFA,1994-02-15,1994
97,1092,43860,35,Ghana,GHA,39,40,2,CAF,1994-02-15,1994
98,1093,43835,36,Saudi Arabia,KSA,39,39,2,AFC,1994-02-15,1994
99,1094,43843,37,Algeria,ALG,39,42,2,CAF,1994-02-15,1994
100,1095,43952,38,Northern Ireland,NIR,38,38,1,UEFA,1994-02-15,1994
101,1096,43901,39,Costa Rica,CRC,38,37,3,CONCACAF,1994-02-15,1994
102,1097,43949,32,Greece,GRE,42,42,2,UEFA,1994-02-15,1994
103,1098,43855,22,Egypt,EGY,46,45,4,CAF,1994-02-15,1994
104,1099,43921,21,USA,USA,47,46,1,CONCACAF,1994-02-15,1994
105,1100,43926,20,Colombia,COL,49,48,1,CONMEBOL,1994-02-15,1994
106,1101,43960,3,Netherlands,NED,57,57,4,UEFA,1994-02-15,1994
107,1102,43941,4,Denmark,DEN,57,57,2,UEFA,1994-02-15,1994
108,1103,43961,5,Norway,NOR,57,58,1,UEFA,1994-02-15,1994
109,1104,43969,6,Spain,ESP,57,57,1,UEFA,1994-02-15,1994
110,1105,43954,7,Italy,ITA,57,59,5,UEFA,1994-02-15,1994
111,1106,43971,8,Switzerland,SUI,56,54,4,UEFA,1994-02-15,1994
112,1107,43922,9,Argentina,ARG,55,55,1,CONMEBOL,1994-02-15,1994
113,1108,43970,10,Sweden,SWE,54,55,1,UEFA,1994-02-15,1994
114,1109,43953,11,Republic of Ireland,IRL,54,54,1,UEFA,1994-02-15,1994
115,1110,43942,12,England,ENG,54,54,1,UEFA,1994-02-15,1994
116,1111,43965,13,Russia,RUS,53,52,1,UEFA,1994-02-15,1994
117,1112,43946,14,France,FRA,52,52,1,UEFA,1994-02-15,1994
118,1113,43876,15,Nigeria,NGA,51,51,3,CAF,1994-02-15,1994
119,1114,43930,16,Uruguay,URU,51,51,1,CONMEBOL,1994-02-15,1994
120,1115,43911,17,Mexico,MEX,51,51,1,CONCACAF,1994-02-15,1994
121,1116,43964,18,Romania,ROU,50,52,5,UEFA,1994-02-15,1994
122,1117,43963,19,Portugal,POR,49,49,1,UEFA,1994-02-15,1994
123,1118,43909,40,Honduras,HON,38,38,0,CONCACAF,1994-02-15,1994
124,1119,43945,41,Finland,FIN,37,36,4,UEFA,1994-02-15,1994
125,1120,43936,23,Bulgaria,BUL,45,44,8,UEFA,1994-02-15,1994
126,1121,43819,43,Japan,JPN,36,36,0,AFC,1994-02-15,1994
127,1122,43823,65,Kuwait,KUW,28,29,1,AFC,1994-02-15,1994
128,1123,43904,66,El Salvador,SLV,28,28,0,CONCACAF,1994-02-15,1994
129,1124,43818,67,Iraq,IRQ,28,28,2,AFC,1994-02-15,1994
