,home_team,away_team,Goals,Ranking_home_team,Ranking_away_team
0,Egypt,Czechoslovakia,2,21.0,18.0
1,DR Congo,Ivory Coast,2,0.0,0.0
2,Guyana,Barbados,-2,128.0,114.0
3,Egypt,Norway,0,21.0,14.0
4,Cameroon,Morocco,1,22.0,41.0
5,Senegal,Nigeria,-1,51.0,13.0
6,Algeria,Ivory Coast,-3,30.0,0.0
7,Egypt,Zambia,-1,21.0,32.0
8,Morocco,DR Congo,0,41.0,0.0
9,Nigeria,Kenya,2,13.0,76.0
10,Ivory Coast,Congo,0,0.0,90.0
11,Portugal,Spain,0,33.0,15.0
12,Zambia,Ghana,-1,32.0,39.0
13,Cameroon,DR Congo,0,22.0,0.0
14,Senegal,Kenya,3,51.0,76.0
15,Algeria,Congo,0,30.0,90.0
16,Egypt,Ghana,-1,21.0,39.0
17,Nigeria,DR Congo,1,13.0,0.0
18,Senegal,Cameroon,-1,51.0,22.0
19,Ghana,Congo,2,39.0,90.0
20,Ivory Coast,Zambia,1,0.0,32.0
21,Cameroon,Ivory Coast,0,22.0,0.0
22,Nigeria,Ghana,-1,13.0,39.0
23,Cameroon,Nigeria,-1,22.0,13.0
24,United States,Russia,-1,0.0,8.0
25,Australia,Sweden,0,45.0,4.0
26,Ghana,Ivory Coast,0,39.0,0.0
27,Albania,Greece,1,86.0,31.0
28,Australia,Sweden,1,45.0,4.0
29,El Salvador,Russia,-3,50.0,8.0
30,Australia,Sweden,1,45.0,4.0
31,United States,Russia,2,0.0,8.0
32,Bermuda,Norway,-2,58.0,14.0
33,Malta,Iceland,1,73.0,46.0
34,Costa Rica,United States,0,37.0,0.0
35,Greece,Romania,1,31.0,11.0
36,Israel,Russia,-1,64.0,8.0
37,Portugal,Netherlands,2,33.0,7.0
38,Turkey,Finland,0,42.0,44.0
39,El Salvador,United States,2,50.0,0.0
40,England,France,2,5.0,19.0
41,Republic of Ireland,Wales,-1,6.0,28.0
42,Italy,San Marino,4,2.0,126.0
43,Scotland,Northern Ireland,1,23.0,43.0
44,Spain,Russia,0,15.0,8.0
45,Tunisia,Nigeria,0,38.0,13.0
46,Brazil,United States,3,3.0,0.0
47,Tunisia,Belgium,2,38.0,17.0
48,United Arab Emirates,Iceland,-1,59.0,46.0
49,Israel,Cyprus,2,64.0,72.0
50,Costa Rica,El Salvador,2,37.0,50.0
51,Saint Vincent and the Grenadines,Curaçao,0,0.0,0.0
52,Dominica,Guadeloupe,0,0.0,0.0
53,Barbados,Curaçao,1,114.0,0.0
54,Grenada,Curaçao,-1,121.0,0.0
55,Mexico,Russia,4,25.0,8.0
56,Mexico,Russia,0,25.0,8.0
57,Spain,United States,2,15.0,0.0
58,El Salvador,Honduras,0,50.0,40.0
59,Morocco,United States,3,41.0,0.0
60,Dominican Republic,Puerto Rico,-1,141.0,122.0
61,Saint Lucia,Saint Vincent and the Grenadines,1,0.0,0.0
62,Cyprus,Greece,-2,72.0,31.0
63,Czechoslovakia,England,0,18.0,5.0
64,France,Belgium,0,19.0,17.0
65,Hungary,Austria,2,36.0,34.0
66,Republic of Ireland,Switzerland,2,6.0,12.0
67,Italy,Germany,1,2.0,1.0
68,Luxembourg,Turkey,-1,103.0,42.0
69,Netherlands,Yugoslavia,2,7.0,29.0
70,Scotland,Finland,0,23.0,44.0
71,Puerto Rico,Dominican Republic,0,122.0,141.0
72,Saint Vincent and the Grenadines,Saint Lucia,3,0.0,0.0
73,Cayman Islands,Martinique,-7,0.0,0.0
74,Canada,China PR,5,57.0,56.0
75,Sint Maarten,Cayman Islands,4,0.0,0.0
76,United States,China PR,5,0.0,56.0
77,Sint Maarten,Martinique,0,0.0,0.0
78,Togo,Ghana,1,101.0,39.0
79,Israel,Iceland,0,64.0,46.0
80,Romania,Latvia,2,11.0,99.0
81,Turkey,Denmark,2,42.0,9.0
82,Jamaica,Bermuda,0,67.0,58.0
83,Austria,Lithuania,4,34.0,93.0
84,Antigua and Barbuda,Montserrat,5,109.0,0.0
85,Brazil,Finland,3,3.0,44.0
86,Saint Kitts and Nevis,British Virgin Islands,4,0.0,0.0
87,Antigua and Barbuda,British Virgin Islands,2,109.0,0.0
88,Saint Kitts and Nevis,Montserrat,10,0.0,0.0
89,Barbados,Trinidad and Tobago,-1,114.0,62.0
90,Curaçao,Antigua and Barbuda,0,0.0,109.0
91,Singapore,Malaysia,0,89.0,91.0
92,China PR,Indonesia,2,56.0,108.0
93,Belgium,Cyprus,1,17.0,72.0
94,Czechoslovakia,Germany,0,18.0,1.0
95,Singapore,Indonesia,-1,89.0,108.0
96,Spain,Albania,3,15.0,86.0
97,Tunisia,Sweden,-1,38.0,4.0
98,China PR,Malaysia,4,56.0,91.0
99,Indonesia,Malaysia,0,108.0,91.0
100,Antigua and Barbuda,Curaçao,3,109.0,0.0
101,Bermuda,Haiti,1,58.0,130.0
102,Guyana,Suriname,-1,128.0,95.0
103,Singapore,China PR,-1,89.0,56.0
104,Northern Ireland,Lithuania,0,43.0,93.0
105,Switzerland,Bulgaria,-2,12.0,26.0
