home_team,away_team,home_goals,away_goals,Ranking_home_team,Ranking_away_team,Total_Score_home_team,Total_Score_away_team,Total_count_home_team,Total_count_away_team,Year,tournament,HomeTeamRank_Difference,AwayTeamRank_Difference
Egypt,Czechoslovakia,2,0,21,18,45,47,0,0,1992,Friendly,3,-3
DR Congo,Ivory Coast,2,0,0,0,0,0,0,0,1992,Friendly,0,0
Guyana,Barbados,0,2,128,114,4,7,0,0,1992,Friendly,14,-14
Egypt,Norway,0,0,21,14,45,49,0,0,1992,Friendly,7,-7
Cameroon,Morocco,1,0,22,41,43,32,0,0,1992,African Cup of Nations,-19,19
Senegal,Nigeria,1,2,51,13,27,50,0,0,1992,African Cup of Nations,38,-38
Algeria,Ivory Coast,0,3,30,0,39,0,0,0,1992,African Cup of Nations,30,-30
Egypt,Zambia,0,1,21,32,45,38,0,0,1992,African Cup of Nations,-11,11
Morocco,DR Congo,1,1,41,0,32,0,0,0,1992,African Cup of Nations,41,-41
Nigeria,Kenya,2,1,13,76,50,17,0,0,1992,African Cup of Nations,-63,63
Ivory Coast,Congo,0,0,0,90,0,13,0,0,1992,African Cup of Nations,-90,90
Portugal,Spain,0,0,33,15,38,49,0,0,1992,Friendly,18,-18
Zambia,Ghana,0,1,32,39,38,34,0,0,1992,African Cup of Nations,-7,7
Cameroon,DR Congo,1,1,22,0,43,0,0,0,1992,African Cup of Nations,22,-22
Senegal,Kenya,3,0,51,76,27,17,0,0,1992,African Cup of Nations,-25,25
Algeria,Congo,1,1,30,90,39,13,0,0,1992,African Cup of Nations,-60,60
Egypt,Ghana,0,1,21,39,45,34,0,0,1992,African Cup of Nations,-18,18
Nigeria,DR Congo,1,0,13,0,50,0,0,0,1992,African Cup of Nations,13,-13
Senegal,Cameroon,0,1,51,22,27,43,0,0,1992,African Cup of Nations,29,-29
Ghana,Congo,2,1,39,90,34,13,0,0,1992,African Cup of Nations,-51,51
Ivory Coast,Zambia,1,0,0,32,0,38,0,0,1992,African Cup of Nations,-32,32
Cameroon,Ivory Coast,0,0,22,0,43,0,0,0,1992,African Cup of Nations,22,-22
Nigeria,Ghana,1,2,13,39,50,34,0,0,1992,African Cup of Nations,-26,26
Cameroon,Nigeria,1,2,22,13,43,50,0,0,1992,African Cup of Nations,9,-9
United States,Russia,0,1,0,8,0,52,0,0,1992,Friendly,-8,8
Australia,Sweden,0,0,45,4,29,56,0,0,1992,Friendly,41,-41
Ghana,Ivory Coast,0,0,39,0,34,0,0,0,1992,African Cup of Nations,39,-39
Albania,Greece,1,0,86,31,14,38,0,0,1992,Friendly,55,-55
Australia,Sweden,1,0,45,4,29,56,0,0,1992,Friendly,41,-41
El Salvador,Russia,0,3,50,8,28,52,0,0,1992,Friendly,42,-42
Australia,Sweden,1,0,45,4,29,56,0,0,1992,Friendly,41,-41
United States,Russia,2,1,0,8,0,52,0,0,1992,Friendly,-8,8
Bermuda,Norway,1,3,58,14,25,49,0,0,1992,Friendly,44,-44
Malta,Iceland,1,0,73,46,19,29,0,0,1992,Malta International Tournament,27,-27
Costa Rica,United States,0,0,37,0,35,0,0,0,1992,Friendly,37,-37
Greece,Romania,1,0,31,11,38,51,0,0,1992,Friendly,20,-20
Israel,Russia,1,2,64,8,23,52,0,0,1992,Friendly,56,-56
Portugal,Netherlands,2,0,33,7,38,54,0,0,1992,Friendly,26,-26
Turkey,Finland,1,1,42,44,31,31,0,0,1992,Friendly,-2,2
El Salvador,United States,2,0,50,0,28,0,0,0,1992,Friendly,50,-50
England,France,2,0,5,19,55,46,0,0,1992,Friendly,-14,14
Republic of Ireland,Wales,0,1,6,28,54,40,0,0,1992,Friendly,-22,22
Italy,San Marino,4,0,2,126,57,4,0,0,1992,Friendly,-124,124
Scotland,Northern Ireland,1,0,23,43,43,31,0,0,1992,Friendly,-20,20
Spain,Russia,1,1,15,8,49,52,0,0,1992,Friendly,7,-7
Tunisia,Nigeria,1,1,38,13,35,50,0,0,1992,Friendly,25,-25
Brazil,United States,3,0,3,0,56,0,0,0,1992,Friendly,3,-3
Tunisia,Belgium,2,1,38,17,35,48,0,0,1992,Friendly,21,-21
United Arab Emirates,Iceland,0,1,59,46,25,29,0,0,1992,Friendly,13,-13
Israel,Cyprus,2,1,64,72,23,20,0,0,1992,Friendly,-8,8
Costa Rica,El Salvador,2,0,37,50,35,28,0,0,1992,Friendly,-13,13
Saint Vincent and the Grenadines,Curaçao,2,2,0,0,0,0,0,0,1992,CFU Caribbean Cup qualification,0,0
Dominica,Guadeloupe,0,0,0,0,0,0,0,0,1992,CFU Caribbean Cup qualification,0,0
Barbados,Curaçao,1,0,114,0,7,0,0,0,1992,CFU Caribbean Cup qualification,114,-114
Grenada,Curaçao,0,1,121,0,5,0,0,0,1992,CFU Caribbean Cup qualification,121,-121
Mexico,Russia,4,0,25,8,43,52,0,0,1992,Friendly,17,-17
Mexico,Russia,1,1,25,8,43,52,0,0,1992,Friendly,17,-17
Spain,United States,2,0,15,0,49,0,0,0,1992,Friendly,15,-15
El Salvador,Honduras,1,1,50,40,28,32,0,0,1992,Friendly,10,-10
Morocco,United States,3,1,41,0,32,0,0,0,1992,Friendly,41,-41
Dominican Republic,Puerto Rico,1,2,141,122,2,5,0,0,1992,FIFA World Cup qualification,19,-19
Saint Lucia,Saint Vincent and the Grenadines,1,0,0,0,0,0,0,0,1992,FIFA World Cup qualification,0,0
Cyprus,Greece,1,3,72,31,20,38,0,0,1992,Friendly,41,-41
Czechoslovakia,England,2,2,18,5,47,55,0,0,1992,Friendly,13,-13
France,Belgium,3,3,19,17,46,48,0,0,1992,Friendly,2,-2
Hungary,Austria,2,1,36,34,36,38,0,0,1992,Friendly,2,-2
Republic of Ireland,Switzerland,2,1,6,12,54,51,0,0,1992,Friendly,-6,6
Italy,Germany,1,0,2,1,57,57,0,0,1992,Friendly,1,-1
Luxembourg,Turkey,2,3,103,42,10,31,0,0,1992,Friendly,61,-61
Netherlands,Yugoslavia,2,0,7,29,54,39,0,0,1992,Friendly,-22,22
Scotland,Finland,1,1,23,44,43,31,0,0,1992,Friendly,-21,21
Puerto Rico,Dominican Republic,1,1,122,141,5,2,0,0,1992,FIFA World Cup qualification,-19,19
Saint Vincent and the Grenadines,Saint Lucia,3,1,0,0,0,0,0,0,1992,FIFA World Cup qualification,0,0
Cayman Islands,Martinique,0,7,0,0,0,0,0,0,1992,CFU Caribbean Cup qualification,0,0
Canada,China PR,5,2,57,56,25,26,0,0,1992,Friendly,1,-1
Sint Maarten,Cayman Islands,4,2,0,0,0,0,0,0,1992,CFU Caribbean Cup qualification,0,0
United States,China PR,5,0,0,56,0,26,0,0,1992,Friendly,-56,56
Sint Maarten,Martinique,1,1,0,0,0,0,0,0,1992,CFU Caribbean Cup qualification,0,0
Togo,Ghana,1,0,101,39,10,34,0,0,1992,Friendly,62,-62
Israel,Iceland,2,2,64,46,23,29,0,0,1992,Friendly,18,-18
Romania,Latvia,2,0,11,99,51,10,0,0,1992,Friendly,-88,88
Turkey,Denmark,2,1,42,9,31,52,0,0,1992,Friendly,33,-33
Jamaica,Bermuda,0,0,67,58,22,25,0,0,1992,Friendly,9,-9
Austria,Lithuania,4,0,34,93,38,12,0,0,1992,Friendly,-59,59
Antigua and Barbuda,Montserrat,5,0,109,0,8,0,0,0,1992,CFU Caribbean Cup qualification,109,-109
Brazil,Finland,3,1,3,44,56,31,0,0,1992,Friendly,-41,41
Saint Kitts and Nevis,British Virgin Islands,4,0,0,0,0,0,0,0,1992,CFU Caribbean Cup qualification,0,0
Antigua and Barbuda,British Virgin Islands,2,0,109,0,8,0,0,0,1992,CFU Caribbean Cup qualification,109,-109
Saint Kitts and Nevis,Montserrat,10,0,0,0,0,0,0,0,1992,CFU Caribbean Cup qualification,0,0
Barbados,Trinidad and Tobago,1,2,114,62,7,24,0,0,1992,FIFA World Cup qualification,52,-52
Curaçao,Antigua and Barbuda,1,1,0,109,0,8,0,0,1992,FIFA World Cup qualification,-109,109
Singapore,Malaysia,1,1,89,91,13,13,0,0,1992,AFC Asian Cup qualification,-2,2
China PR,Indonesia,2,0,56,108,26,9,0,0,1992,AFC Asian Cup qualification,-52,52
Belgium,Cyprus,1,0,17,72,48,20,0,0,1992,FIFA World Cup qualification,-55,55
Czechoslovakia,Germany,1,1,18,1,47,57,0,0,1992,Friendly,17,-17
Singapore,Indonesia,1,2,89,108,13,9,0,0,1992,AFC Asian Cup qualification,-19,19
Spain,Albania,3,0,15,86,49,14,0,0,1992,FIFA World Cup qualification,-71,71
Tunisia,Sweden,0,1,38,4,35,56,0,0,1992,Friendly,34,-34
China PR,Malaysia,4,0,56,91,26,13,0,0,1992,AFC Asian Cup qualification,-35,35
Indonesia,Malaysia,1,1,108,91,9,13,0,0,1992,AFC Asian Cup qualification,17,-17
Antigua and Barbuda,Curaçao,3,0,109,0,8,0,0,0,1992,FIFA World Cup qualification,109,-109
Bermuda,Haiti,1,0,58,130,25,4,0,0,1992,FIFA World Cup qualification,-72,72
Guyana,Suriname,1,2,128,95,4,12,0,0,1992,FIFA World Cup qualification,33,-33
Singapore,China PR,0,1,89,56,13,26,0,0,1992,AFC Asian Cup qualification,33,-33
Northern Ireland,Lithuania,2,2,43,93,31,12,0,0,1992,FIFA World Cup qualification,-50,50
Switzerland,Bulgaria,0,2,12,26,51,41,0,0,1992,Friendly,-14,14
Austria,Wales,1,1,34,28,38,40,0,0,1992,Friendly,6,-6
Denmark,Norway,1,0,9,14,52,49,0,0,1992,Friendly,-5,5
El Salvador,Costa Rica,1,1,50,37,28,35,0,0,1992,Friendly,13,-13
Republic of Ireland,United States,4,1,6,0,54,0,0,0,1992,Friendly,6,-6
Russia,England,2,2,8,5,52,55,0,0,1992,Friendly,3,-3
Ukraine,Hungary,1,3,129,36,4,36,0,0,1992,Friendly,93,-93
Uruguay,Brazil,1,0,16,3,48,56,0,0,1992,Friendly,13,-13
Anguilla,Cuba,0,3,0,144,0,1,0,0,1992,CFU Caribbean Cup qualification,-144,144
French Guiana,Guyana,1,1,0,128,0,4,0,0,1992,CFU Caribbean Cup qualification,-128,128
